API_Gravity_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
55.4,3.1514,0.13236
55.5,3.1497,0.13229
55.6,3.148,0.13222
55.7,3.1463,0.13214
55.8,3.1446,0.13207
55.9,3.1429,0.132
56.0,3.1413,0.13193
56.1,3.1396,0.13186
56.2,3.1379,0.13179
56.3,3.1362,0.13172
56.4,3.1346,0.13165
56.5,3.1329,0.13158
56.6,3.1312,0.13151
56.7,3.1296,0.13144
56.8,3.1279,0.13137
56.9,3.1262,0.1313
57.0,3.1246,0.13123
57.1,3.1229,0.13116
57.2,3.1213,0.13109
57.3,3.1196,0.13102
57.4,3.1179,0.13095
57.5,3.1163,0.13088
57.6,3.1146,0.13082
57.7,3.113,0.13075
57.8,3.1113,0.13068
57.9,3.1097,0.13061
58.0,3.1081,0.13054
58.1,3.1064,0.13047
58.2,3.1048,0.1304
58.3,3.1031,0.13033
58.4,3.1015,0.13026
58.5,3.0999,0.13019
58.6,3.0982,0.13013
58.7,3.0966,0.13006
58.8,3.095,0.12999
58.9,3.0933,0.12992
59.0,3.0917,0.12985
59.1,3.0901,0.12978
59.2,3.0885,0.12972
59.3,3.0868,0.12965
59.4,3.0852,0.12958
59.5,3.0836,0.12951
59.6,3.082,0.12944
59.7,3.0804,0.12938
59.8,3.0788,0.12931
59.9,3.0772,0.12924
60.0,3.0755,0.12917
60.1,3.0739,0.12911
60.2,3.0723,0.12904
60.3,3.0707,0.12897
60.4,3.0691,0.1289
60.5,3.0675,0.12884
60.6,3.0659,0.12877
60.7,3.0643,0.1287
60.8,3.0627,0.12863
60.9,3.0611,0.12857
61.0,3.0595,0.1285
61.1,3.058,0.12843
61.2,3.0564,0.12837
61.3,3.0548,0.1283
61.4,3.0532,0.12823
61.5,3.0516,0.12817
61.6,3.05,0.1281
61.7,3.0484,0.12803
61.8,3.0469,0.12797
61.9,3.0453,0.1279
62.0,3.0437,0.12784
62.1,3.0421,0.12777
62.2,3.0406,0.1277
62.3,3.039,0.12764
62.4,3.0374,0.12757
62.5,3.0358,0.12751
62.6,3.0343,0.12744
62.7,3.0327,0.12737
62.8,3.0312,0.12731
62.9,3.0296,0.12724
63.0,3.028,0.12718
63.1,3.0265,0.12711
63.2,3.0249,0.12705
63.3,3.0234,0.12698
63.4,3.0218,0.12692
63.5,3.0203,0.12685
63.6,3.0187,0.12679
63.7,3.0172,0.12672
63.8,3.0156,0.12666
63.9,3.0141,0.12659
64.0,3.0125,0.12653
64.1,3.011,0.12646
64.2,3.0094,0.1264
64.3,3.0079,0.12633
64.4,3.0064,0.12627
64.5,3.0048,0.1262
64.6,3.0033,0.12614
64.7,3.0017,0.12607
64.8,3.0002,0.12601
64.9,2.9987,0.12594
65.0,2.9972,0.12588
65.1,2.9956,0.12582
65.2,2.9941,0.12575
65.3,2.9926,0.12569
65.4,2.9911,0.12562
65.5,2.9895,0.12556
65.6,2.988,0.1255
65.7,2.9865,0.12543
65.8,2.985,0.12537
65.9,2.9835,0.12531
66.0,2.982,0.12524
66.1,2.9804,0.12518
66.2,2.9789,0.12512
66.3,2.9774,0.12505
66.4,2.9759,0.12499
66.5,2.9744,0.12493
66.6,2.9729,0.12486
66.7,2.9714,0.1248
66.8,2.9699,0.12474
66.9,2.9684,0.12467
67.0,2.9669,0.12461
67.1,2.9654,0.12455
67.2,2.9639,0.12448
67.3,2.9624,0.12442
67.4,2.9609,0.12436
67.5,2.9594,0.1243
67.6,2.958,0.12423
67.7,2.9565,0.12417
67.8,2.955,0.12411
67.9,2.9535,0.12405
68.0,2.952,0.12398
68.1,2.9505,0.12392
68.2,2.949,0.12386
68.3,2.9476,0.1238
68.4,2.9461,0.12374
68.5,2.9446,0.12367
68.6,2.9431,0.12361
68.7,2.9417,0.12355
68.8,2.9402,0.12349
68.9,2.9387,0.12343
69.0,2.9373,0.12337
69.1,2.9358,0.1233
69.2,2.9343,0.12324
69.3,2.9329,0.12318
69.4,2.9314,0.12312
69.5,2.9299,0.12306
69.6,2.9285,0.123
69.7,2.927,0.12294
69.8,2.9256,0.12287
69.9,2.9241,0.12281
70.0,2.9227,0.12275
70.1,2.9212,0.12269
70.2,2.9198,0.12263
70.3,2.9183,0.12257
70.4,2.9169,0.12251
70.5,2.9154,0.12245
70.6,2.914,0.12239
70.7,2.9125,0.12233
70.8,2.9111,0.12227
70.9,2.9096,0.1222
71.0,2.9082,0.12214
71.1,2.9068,0.12208
71.2,2.9053,0.12202
71.3,2.9039,0.12196
71.4,2.9025,0.1219
71.5,2.901,0.12184
71.6,2.8996,0.12178
71.7,2.8982,0.12172
71.8,2.8967,0.12166
71.9,2.8953,0.1216
72.0,2.8939,0.12154
72.1,2.8925,0.12148
72.2,2.891,0.12142
72.3,2.8896,0.12136
72.4,2.8882,0.1213
72.5,2.8868,0.12124
72.6,2.8854,0.12119
72.7,2.8839,0.12113
72.8,2.8825,0.12107
72.9,2.8811,0.12101
73.0,2.8797,0.12095
73.1,2.8783,0.12089
73.2,2.8769,0.12083
73.3,2.8755,0.12077
73.4,2.8741,0.12071
73.5,2.8727,0.12065
73.6,2.8713,0.12059
73.7,2.8699,0.12053
73.8,2.8685,0.12048
73.9,2.8671,0.12042
74.0,2.8657,0.12036
74.1,2.8643,0.1203
74.2,2.8629,0.12024
74.3,2.8615,0.12018
74.4,2.8601,0.12012
74.5,2.8587,0.12007
74.6,2.8573,0.12001
74.7,2.8559,0.11995
74.8,2.8545,0.11989
74.9,2.8532,0.11983
75.0,2.8518,0.11977
75.1,2.8504,0.11972
75.2,2.849,0.11966
75.3,2.8476,0.1196
75.4,2.8462,0.11954
75.5,2.8449,0.11948
75.6,2.8435,0.11943
75.7,2.8421,0.11937
75.8,2.8407,0.11931
75.9,2.8394,0.11925
76.0,2.838,0.1192
76.1,2.8366,0.11914
76.2,2.8353,0.11908
76.3,2.8339,0.11902
76.4,2.8325,0.11897
76.5,2.8312,0.11891
76.6,2.8298,0.11885
76.7,2.8284,0.11879
76.8,2.8271,0.11874
76.9,2.8257,0.11868
77.0,2.8244,0.11862
77.1,2.823,0.11857
77.2,2.8217,0.11851
77.3,2.8203,0.11845
77.4,2.8189,0.1184
77.5,2.8176,0.11834
77.6,2.8162,0.11828
77.7,2.8149,0.11823
77.8,2.8136,0.11817
77.9,2.8122,0.11811
78.0,2.8109,0.11806
78.1,2.8095,0.118
78.2,2.8082,0.11794
78.3,2.8068,0.11789
78.4,2.8055,0.11783
78.5,2.8042,0.11777
78.6,2.8028,0.11772
78.7,2.8015,0.11766
78.8,2.8001,0.11761
78.9,2.7988,0.11755
79.0,2.7975,0.11749
79.1,2.7962,0.11744
79.2,2.7948,0.11738
79.3,2.7935,0.11733
79.4,2.7922,0.11727
79.5,2.7908,0.11722
79.6,2.7895,0.11716
79.7,2.7882,0.1171
79.8,2.7869,0.11705
79.9,2.7856,0.11699
80.0,2.7842,0.11694
80.1,2.7829,0.11688
80.2,2.7816,0.11683
80.3,2.7803,0.11677
80.4,2.779,0.11672
80.5,2.7777,0.11666
80.6,2.7763,0.11661
80.7,2.775,0.11655
80.8,2.7737,0.1165
80.9,2.7724,0.11644
81.0,2.7711,0.11639
81.1,2.7698,0.11633
81.2,2.7685,0.11628
81.3,2.7672,0.11622
81.4,2.7659,0.11617
81.5,2.7646,0.11611
81.6,2.7633,0.11606
81.7,2.762,0.116
81.8,2.7607,0.11595
81.9,2.7594,0.11589
82.0,2.7581,0.11584
82.1,2.7568,0.11579
82.2,2.7555,0.11573
82.3,2.7542,0.11568
82.4,2.7529,0.11562
82.5,2.7516,0.11557
82.6,2.7504,0.11552
82.7,2.7491,0.11546
82.8,2.7478,0.11541
82.9,2.7465,0.11535
83.0,2.7452,0.1153
83.1,2.7439,0.11525
83.2,2.7427,0.11519
83.3,2.7414,0.11514
83.4,2.7401,0.11508
83.5,2.7388,0.11503
83.6,2.7375,0.11498
83.7,2.7363,0.11492
83.8,2.735,0.11487
83.9,2.7337,0.11482
84.0,2.7325,0.11476
84.1,2.7312,0.11471
84.2,2.7299,0.11466
84.3,2.7287,0.1146
84.4,2.7274,0.11455
84.5,2.7261,0.1145
84.6,2.7249,0.11444
84.7,2.7236,0.11439
84.8,2.7223,0.11434
84.9,2.7211,0.11429
85.0,2.7198,0.11423
