api_gravity_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
47.8,6.57,0.1522
47.9,6.567,0.15228
48.0,6.563,0.15237
48.1,6.559,0.15245
48.2,6.556,0.15254
48.3,6.552,0.15262
48.4,6.548,0.15271
48.5,6.545,0.15279
48.6,6.541,0.15288
48.7,6.537,0.15296
48.8,6.534,0.15305
48.9,6.53,0.15313
49.0,6.527,0.15322
49.1,6.523,0.1533
49.2,6.519,0.15339
49.3,6.516,0.15347
49.4,6.512,0.15356
49.5,6.509,0.15364
49.6,6.505,0.15373
49.7,6.501,0.15382
49.8,6.498,0.1539
49.9,6.494,0.15399
50.0,6.491,0.15407
50.1,6.487,0.15416
50.2,6.483,0.15424
50.3,6.48,0.15433
50.4,6.476,0.15441
50.5,6.473,0.1545
50.6,6.469,0.15458
50.7,6.466,0.15467
50.8,6.462,0.15475
50.9,6.458,0.15484
51.0,6.455,0.15492
51.1,6.451,0.15501
51.2,6.448,0.15509
51.3,6.444,0.15518
51.4,6.441,0.15526
51.5,6.437,0.15535
51.6,6.434,0.15543
51.7,6.43,0.15552
51.8,6.427,0.1556
51.9,6.423,0.15569
52.0,6.42,0.15577
52.1,6.416,0.15586
52.2,6.413,0.15594
52.3,6.409,0.15603
52.4,6.406,0.15611
52.5,6.402,0.1562
52.6,6.399,0.15628
52.7,6.395,0.15637
52.8,6.392,0.15645
52.9,6.388,0.15654
53.0,6.385,0.15662
53.1,6.381,0.15671
53.2,6.378,0.15679
53.3,6.374,0.15688
53.4,6.371,0.15696
53.5,6.368,0.15705
53.6,6.364,0.15713
53.7,6.361,0.15722
53.8,6.357,0.1573
53.9,6.354,0.15739
54.0,6.35,0.15747
54.1,6.347,0.15756
54.2,6.344,0.15764
54.3,6.34,0.15773
54.4,6.337,0.15781
54.5,6.333,0.1579
54.6,6.33,0.15798
54.7,6.326,0.15807
54.8,6.323,0.15815
54.9,6.32,0.15824
55.0,6.316,0.15832
55.1,6.313,0.15841
55.2,6.309,0.15849
55.3,6.306,0.15858
55.4,6.303,0.15866
55.5,6.299,0.15875
55.6,6.296,0.15883
55.7,6.293,0.15892
55.8,6.289,0.159
55.9,6.286,0.15909
56.0,6.283,0.15917
56.1,6.279,0.15926
56.2,6.276,0.15934
56.3,6.272,0.15943
56.4,6.269,0.15951
56.5,6.266,0.1596
56.6,6.262,0.15968
56.7,6.259,0.15977
56.8,6.256,0.15985
56.9,6.252,0.15994
57.0,6.249,0.16002
57.1,6.246,0.16011
57.2,6.243,0.16019
57.3,6.239,0.16028
57.4,6.236,0.16036
57.5,6.233,0.16045
57.6,6.229,0.16053
57.7,6.226,0.16062
57.8,6.223,0.1607
57.9,6.219,0.16079
58.0,6.216,0.16087
58.1,6.213,0.16096
58.2,6.21,0.16104
58.3,6.206,0.16113
58.4,6.203,0.16121
58.5,6.2,0.1613
58.6,6.196,0.16138
58.7,6.193,0.16147
58.8,6.19,0.16155
58.9,6.187,0.16164
59.0,6.183,0.16172
59.1,6.18,0.16181
59.2,6.177,0.16189
59.3,6.174,0.16198
59.4,6.17,0.16206
59.5,6.167,0.16215
59.6,6.164,0.16223
59.7,6.161,0.16232
59.8,6.158,0.1624
59.9,6.154,0.16249
60.0,6.151,0.16257
60.1,6.148,0.16266
60.2,6.145,0.16274
60.3,6.141,0.16283
60.4,6.138,0.16291
60.5,6.135,0.163
60.6,6.132,0.16308
60.7,6.129,0.16317
60.8,6.125,0.16325
60.9,6.122,0.16334
61.0,6.119,0.16342
61.1,6.116,0.16351
61.2,6.113,0.16359
61.3,6.11,0.16368
61.4,6.106,0.16376
61.5,6.103,0.16385
61.6,6.1,0.16393
61.7,6.097,0.16402
61.8,6.094,0.1641
61.9,6.091,0.16419
62.0,6.087,0.16427
62.1,6.084,0.16436
62.2,6.081,0.16444
62.3,6.078,0.16453
62.4,6.075,0.16461
62.5,6.072,0.1647
62.6,6.069,0.16478
62.7,6.065,0.16487
62.8,6.062,0.16495
62.9,6.059,0.16504
63.0,6.056,0.16512
63.1,6.053,0.16521
63.2,6.05,0.16529
63.3,6.047,0.16538
63.4,6.044,0.16546
63.5,6.041,0.16555
63.6,6.037,0.16563
63.7,6.034,0.16572
63.8,6.031,0.1658
63.9,6.028,0.16589
64.0,6.025,0.16597
64.1,6.022,0.16606
64.2,6.019,0.16614
64.3,6.016,0.16623
64.4,6.013,0.16631
64.5,6.01,0.1664
64.6,6.007,0.16648
64.7,6.003,0.16657
64.8,6.0,0.16665
64.9,5.997,0.16674
65.0,5.994,0.16682
65.1,5.991,0.16691
65.2,5.988,0.16699
65.3,5.985,0.16708
65.4,5.982,0.16716
65.5,5.979,0.16725
65.6,5.976,0.16733
65.7,5.973,0.16742
65.8,5.97,0.16751
65.9,5.967,0.16759
66.0,5.964,0.16768
66.1,5.961,0.16776
66.2,5.958,0.16785
66.3,5.955,0.16793
66.4,5.952,0.16802
66.5,5.949,0.1681
66.6,5.946,0.16819
66.7,5.943,0.16827
66.8,5.94,0.16836
66.9,5.937,0.16844
67.0,5.934,0.16853
67.1,5.931,0.16861
67.2,5.928,0.1687
67.3,5.925,0.16878
67.4,5.922,0.16887
67.5,5.919,0.16895
67.6,5.916,0.16904
67.7,5.913,0.16912
67.8,5.91,0.16921
67.9,5.907,0.16929
68.0,5.904,0.16938
68.1,5.901,0.16946
68.2,5.898,0.16955
68.3,5.895,0.16963
68.4,5.892,0.16972
68.5,5.889,0.1698
68.6,5.886,0.16989
68.7,5.883,0.16997
68.8,5.88,0.17006
68.9,5.877,0.17014
69.0,5.875,0.17023
69.1,5.872,0.17031
69.2,5.869,0.1704
69.3,5.866,0.17048
69.4,5.863,0.17057
69.5,5.86,0.17065
69.6,5.857,0.17074
69.7,5.854,0.17082
69.8,5.851,0.17091
69.9,5.848,0.17099
70.0,5.845,0.17108
70.1,5.842,0.17116
70.2,5.84,0.17125
70.3,5.837,0.17133
70.4,5.834,0.17142
70.5,5.831,0.1715
70.6,5.828,0.17159
70.7,5.825,0.17167
70.8,5.822,0.17176
70.9,5.819,0.17184
71.0,5.816,0.17193
71.1,5.814,0.17201
71.2,5.811,0.1721
71.3,5.808,0.17218
71.4,5.805,0.17227
71.5,5.802,0.17235
71.6,5.799,0.17244
71.7,5.796,0.17252
71.8,5.793,0.17261
71.9,5.791,0.17269
72.0,5.788,0.17278
72.1,5.785,0.17286
72.2,5.782,0.17295
72.3,5.779,0.17303
72.4,5.776,0.17312
72.5,5.774,0.1732
72.6,5.771,0.17329
72.7,5.768,0.17337
72.8,5.765,0.17346
72.9,5.762,0.17354
73.0,5.759,0.17363
73.1,5.757,0.17371
73.2,5.754,0.1738
73.3,5.751,0.17388
73.4,5.748,0.17397
73.5,5.745,0.17405
73.6,5.743,0.17414
73.7,5.74,0.17422
73.8,5.737,0.17431
73.9,5.734,0.17439
74.0,5.731,0.17448
74.1,5.729,0.17456
74.2,5.726,0.17465
74.3,5.723,0.17473
74.4,5.72,0.17482
74.5,5.717,0.1749
74.6,5.715,0.17499
74.7,5.712,0.17507
74.8,5.709,0.17516
74.9,5.706,0.17524
75.0,5.704,0.17533
75.1,5.701,0.17541
75.2,5.698,0.1755
75.3,5.695,0.17558
75.4,5.692,0.17567
75.5,5.69,0.17575
75.6,5.687,0.17584
75.7,5.684,0.17593
75.8,5.681,0.17601
75.9,5.679,0.1761
76.0,5.676,0.17618
76.1,5.673,0.17627
76.2,5.671,0.17635
76.3,5.668,0.17644
76.4,5.665,0.17652
76.5,5.662,0.17661
76.6,5.66,0.17669
76.7,5.657,0.17678
76.8,5.654,0.17686
76.9,5.651,0.17695
77.0,5.649,0.17703
77.1,5.646,0.17712
77.2,5.643,0.1772
77.3,5.641,0.17729
77.4,5.638,0.17737
77.5,5.635,0.17746
77.6,5.632,0.17754
77.7,5.63,0.17763
77.8,5.627,0.17771
77.9,5.624,0.1778
78.0,5.622,0.17788
78.1,5.619,0.17797
78.2,5.616,0.17805
78.3,5.614,0.17814
78.4,5.611,0.17822
78.5,5.608,0.17831
78.6,5.606,0.17839
78.7,5.603,0.17848
78.8,5.6,0.17856
78.9,5.598,0.17865
79.0,5.595,0.17873
79.1,5.592,0.17882
79.2,5.59,0.1789
79.3,5.587,0.17899
79.4,5.584,0.17907
79.5,5.582,0.17916
79.6,5.579,0.17924
79.7,5.576,0.17933
79.8,5.574,0.17941
79.9,5.571,0.1795
80.0,5.568,0.17958
80.1,5.566,0.17967
80.2,5.563,0.17975
80.3,5.561,0.17984
80.4,5.558,0.17992
80.5,5.555,0.18001
80.6,5.553,0.18009
80.7,5.55,0.18018
80.8,5.547,0.18026
80.9,5.545,0.18035
81.0,5.542,0.18043
81.1,5.54,0.18052
81.2,5.537,0.1806
81.3,5.534,0.18069
81.4,5.532,0.18077
81.5,5.529,0.18086
81.6,5.527,0.18094
81.7,5.524,0.18103
81.8,5.521,0.18111
81.9,5.519,0.1812
82.0,5.516,0.18128
82.1,5.514,0.18137
82.2,5.511,0.18145
82.3,5.508,0.18154
82.4,5.506,0.18162
82.5,5.503,0.18171
82.6,5.501,0.18179
82.7,5.498,0.18188
82.8,5.496,0.18196
82.9,5.493,0.18205
83.0,5.49,0.18213
83.1,5.488,0.18222
83.2,5.485,0.1823
83.3,5.483,0.18239
83.4,5.48,0.18247
83.5,5.478,0.18256
83.6,5.475,0.18265
83.7,5.473,0.18273
83.8,5.47,0.18282
83.9,5.467,0.1829
84.0,5.465,0.18299
84.1,5.462,0.18307
84.2,5.46,0.18316
84.3,5.457,0.18324
84.4,5.455,0.18333
84.5,5.452,0.18341
84.6,5.45,0.1835
84.7,5.447,0.18358
84.8,5.445,0.18367
84.9,5.442,0.18375
85.0,5.44,0.18384
