api_gravity_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
69.3,381.88,9.092
69.4,382.07,9.097
69.5,382.26,9.101
69.6,382.45,9.106
69.7,382.64,9.11
69.8,382.83,9.115
69.9,383.02,9.12
70.0,383.21,9.124
70.1,383.4,9.129
70.2,383.59,9.133
70.3,383.78,9.138
70.4,383.97,9.142
70.5,384.17,9.147
70.6,384.36,9.151
70.7,384.55,9.156
70.8,384.74,9.16
70.9,384.93,9.165
71.0,385.12,9.169
71.1,385.31,9.174
71.2,385.5,9.179
71.3,385.69,9.183
71.4,385.88,9.188
71.5,386.07,9.192
71.6,386.26,9.197
71.7,386.45,9.201
71.8,386.64,9.206
71.9,386.83,9.21
72.0,387.02,9.215
72.1,387.21,9.219
72.2,387.4,9.224
72.3,387.59,9.228
72.4,387.78,9.233
72.5,387.98,9.238
72.6,388.17,9.242
72.7,388.36,9.247
72.8,388.55,9.251
72.9,388.74,9.256
73.0,388.93,9.26
73.1,389.12,9.265
73.2,389.31,9.269
73.3,389.5,9.274
73.4,389.69,9.278
73.5,389.88,9.283
73.6,390.07,9.287
73.7,390.26,9.292
73.8,390.45,9.296
73.9,390.64,9.301
74.0,390.83,9.306
74.1,391.02,9.31
74.2,391.21,9.315
74.3,391.4,9.319
74.4,391.6,9.324
74.5,391.79,9.328
74.6,391.98,9.333
74.7,392.17,9.337
74.8,392.36,9.342
74.9,392.55,9.346
75.0,392.74,9.351
75.1,392.93,9.355
75.2,393.12,9.36
75.3,393.31,9.365
75.4,393.5,9.369
75.5,393.69,9.374
75.6,393.88,9.378
75.7,394.07,9.383
75.8,394.26,9.387
75.9,394.45,9.392
76.0,394.64,9.396
76.1,394.83,9.401
76.2,395.02,9.405
76.3,395.22,9.41
76.4,395.41,9.414
76.5,395.6,9.419
76.6,395.79,9.423
76.7,395.98,9.428
76.8,396.17,9.433
76.9,396.36,9.437
77.0,396.55,9.442
77.1,396.74,9.446
77.2,396.93,9.451
77.3,397.12,9.455
77.4,397.31,9.46
77.5,397.5,9.464
77.6,397.69,9.469
77.7,397.88,9.473
77.8,398.07,9.478
77.9,398.26,9.482
78.0,398.45,9.487
78.1,398.64,9.492
78.2,398.84,9.496
78.3,399.03,9.501
78.4,399.22,9.505
78.5,399.41,9.51
78.6,399.6,9.514
78.7,399.79,9.519
78.8,399.98,9.523
78.9,400.17,9.528
79.0,400.36,9.532
79.1,400.55,9.537
79.2,400.74,9.541
79.3,400.93,9.546
79.4,401.12,9.551
79.5,401.31,9.555
79.6,401.5,9.56
79.7,401.69,9.564
79.8,401.88,9.569
79.9,402.07,9.573
80.0,402.27,9.578
80.1,402.46,9.582
80.2,402.65,9.587
80.3,402.84,9.591
80.4,403.03,9.596
80.5,403.22,9.6
80.6,403.41,9.605
80.7,403.6,9.609
80.8,403.79,9.614
80.9,403.98,9.619
81.0,404.17,9.623
81.1,404.36,9.628
81.2,404.55,9.632
81.3,404.74,9.637
81.4,404.93,9.641
81.5,405.12,9.646
81.6,405.31,9.65
81.7,405.5,9.655
81.8,405.7,9.659
81.9,405.89,9.664
82.0,406.08,9.668
82.1,406.27,9.673
82.2,406.46,9.678
82.3,406.65,9.682
82.4,406.84,9.687
82.5,407.03,9.691
82.6,407.22,9.696
82.7,407.41,9.7
82.8,407.6,9.705
82.9,407.79,9.709
83.0,407.98,9.714
83.1,408.17,9.718
83.2,408.36,9.723
83.3,408.55,9.727
83.4,408.74,9.732
83.5,408.93,9.737
83.6,409.12,9.741
83.7,409.32,9.746
83.8,409.51,9.75
83.9,409.7,9.755
84.0,409.89,9.759
84.1,410.08,9.764
84.2,410.27,9.768
84.3,410.46,9.773
84.4,410.65,9.777
84.5,410.84,9.782
84.6,411.03,9.786
84.7,411.22,9.791
84.8,411.41,9.796
84.9,411.6,9.8
85.0,411.79,9.805
