api_gravity_60f,long_tons_per_1000_us_gallons_60f,long_tons_per_barrel_60f
58.6,2.7663,0.11618
58.7,2.7648,0.11612
58.8,2.7634,0.11606
58.9,2.7619,0.116
59.0,2.7605,0.11594
59.1,2.759,0.11588
59.2,2.7576,0.11582
59.3,2.7561,0.11576
59.4,2.7547,0.1157
59.5,2.7532,0.11564
59.6,2.7518,0.11557
59.7,2.7503,0.11551
59.8,2.7489,0.11545
59.9,2.7475,0.11539
60.0,2.746,0.11533
60.1,2.7446,0.11527
60.2,2.7432,0.11521
60.3,2.7417,0.11515
60.4,2.7403,0.11509
60.5,2.7389,0.11503
60.6,2.7374,0.11497
60.7,2.736,0.11491
60.8,2.7346,0.11485
60.9,2.7332,0.11479
61.0,2.7317,0.11473
61.1,2.7303,0.11467
61.2,2.7289,0.11461
61.3,2.7275,0.11455
61.4,2.7261,0.11449
61.5,2.7246,0.11444
61.6,2.7232,0.11438
61.7,2.7218,0.11432
61.8,2.7204,0.11426
61.9,2.719,0.1142
62.0,2.7176,0.11414
62.1,2.7162,0.11408
62.2,2.7148,0.11402
62.3,2.7134,0.11396
62.4,2.712,0.1139
62.5,2.7106,0.11384
62.6,2.7092,0.11379
62.7,2.7078,0.11373
62.8,2.7064,0.11367
62.9,2.705,0.11361
63.0,2.7036,0.11355
63.1,2.7022,0.11349
63.2,2.7008,0.11343
63.3,2.6994,0.11338
63.4,2.698,0.11332
63.5,2.6967,0.11326
63.6,2.6953,0.1132
63.7,2.6939,0.11314
63.8,2.6925,0.11309
63.9,2.6911,0.11303
64.0,2.6897,0.11297
64.1,2.6884,0.11291
64.2,2.687,0.11285
64.3,2.6856,0.1128
64.4,2.6842,0.11274
64.5,2.6829,0.11268
64.6,2.6815,0.11262
64.7,2.6801,0.11257
64.8,2.6788,0.11251
64.9,2.6774,0.11245
65.0,2.676,0.11239
65.1,2.6747,0.11234
65.2,2.6733,0.11228
65.3,2.6719,0.11222
65.4,2.6706,0.11216
65.5,2.6692,0.11211
65.6,2.6679,0.11205
65.7,2.6665,0.11199
65.8,2.6652,0.11194
65.9,2.6638,0.11188
66.0,2.6625,0.11182
66.1,2.6611,0.11177
66.2,2.6598,0.11171
66.3,2.6584,0.11165
66.4,2.6571,0.1116
66.5,2.6557,0.11154
66.6,2.6544,0.11148
66.7,2.653,0.11143
66.8,2.6517,0.11137
66.9,2.6504,0.11132
67.0,2.649,0.11126
67.1,2.6477,0.1112
67.2,2.6464,0.11115
67.3,2.645,0.11109
67.4,2.6437,0.11103
67.5,2.6424,0.11098
67.6,2.641,0.11092
67.7,2.6397,0.11087
67.8,2.6384,0.11081
67.9,2.637,0.11076
68.0,2.6357,0.1107
68.1,2.6344,0.11064
68.2,2.6331,0.11059
68.3,2.6318,0.11053
68.4,2.6304,0.11048
68.5,2.6291,0.11042
68.6,2.6278,0.11037
68.7,2.6265,0.11031
68.8,2.6252,0.11026
68.9,2.6239,0.1102
69.0,2.6226,0.11015
69.1,2.6212,0.11009
69.2,2.6199,0.11004
69.3,2.6186,0.10998
69.4,2.6173,0.10993
69.5,2.616,0.10987
69.6,2.6147,0.10982
69.7,2.6134,0.10976
69.8,2.6121,0.10971
69.9,2.6108,0.10965
70.0,2.6095,0.1096
70.1,2.6082,0.10955
70.2,2.6069,0.10949
70.3,2.6056,0.10944
70.4,2.6043,0.10938
70.5,2.603,0.10933
70.6,2.6018,0.10927
70.7,2.6005,0.10922
70.8,2.5992,0.10917
70.9,2.5979,0.10911
71.0,2.5966,0.10906
71.1,2.5953,0.109
71.2,2.594,0.10895
71.3,2.5928,0.1089
71.4,2.5915,0.10884
71.5,2.5902,0.10879
71.6,2.5889,0.10873
71.7,2.5876,0.10868
71.8,2.5864,0.10863
71.9,2.5851,0.10857
72.0,2.5838,0.10852
72.1,2.5826,0.10847
72.2,2.5813,0.10841
72.3,2.58,0.10836
72.4,2.5787,0.10831
72.5,2.5775,0.10825
72.6,2.5762,0.1082
72.7,2.575,0.10815
72.8,2.5737,0.1081
72.9,2.5724,0.10804
73.0,2.5712,0.10799
73.1,2.5699,0.10794
73.2,2.5687,0.10788
73.3,2.5674,0.10783
73.4,2.5661,0.10778
73.5,2.5649,0.10773
73.6,2.5636,0.10767
73.7,2.5624,0.10762
73.8,2.5611,0.10757
73.9,2.5599,0.10752
74.0,2.5586,0.10746
74.1,2.5574,0.10741
74.2,2.5561,0.10736
74.3,2.5549,0.10731
74.4,2.5537,0.10725
74.5,2.5524,0.1072
74.6,2.5512,0.10715
74.7,2.5499,0.1071
74.8,2.5487,0.10705
74.9,2.5475,0.10699
75.0,2.5462,0.10694
75.1,2.545,0.10689
75.2,2.5438,0.10684
75.3,2.5425,0.10679
75.4,2.5413,0.10673
75.5,2.5401,0.10668
75.6,2.5388,0.10663
75.7,2.5376,0.10658
75.8,2.5364,0.10653
75.9,2.5352,0.10648
76.0,2.5339,0.10643
76.1,2.5327,0.10637
76.2,2.5315,0.10632
76.3,2.5303,0.10627
76.4,2.529,0.10622
76.5,2.5277,0.10617
76.6,2.5266,0.10612
76.7,2.5254,0.10607
76.8,2.5242,0.10602
76.9,2.523,0.10596
77.0,2.5218,0.10591
77.1,2.5205,0.10586
77.2,2.5193,0.10581
77.3,2.5181,0.10576
77.4,2.5169,0.10571
77.5,2.5157,0.10566
77.6,2.5145,0.10561
77.7,2.5133,0.10556
77.8,2.5121,0.10551
77.9,2.5109,0.10546
78.0,2.5097,0.10541
78.1,2.5085,0.10536
78.2,2.5073,0.10531
78.3,2.5061,0.10526
78.4,2.5049,0.10521
78.5,2.5037,0.10516
78.6,2.5025,0.10511
78.7,2.5013,0.10506
78.8,2.5001,0.10501
78.9,2.4989,0.10496
79.0,2.4978,0.10491
79.1,2.4966,0.10486
79.2,2.4954,0.10481
79.3,2.4942,0.10476
79.4,2.493,0.10471
79.5,2.4918,0.10466
79.6,2.4906,0.10461
79.7,2.4895,0.10456
79.8,2.4883,0.10451
79.9,2.4871,0.10446
80.0,2.4859,0.10441
80.1,2.4847,0.10436
80.2,2.4836,0.10431
80.3,2.4824,0.10426
80.4,2.4812,0.10421
80.5,2.48,0.10416
80.6,2.4789,0.10411
80.7,2.4777,0.10406
80.8,2.4765,0.10401
80.9,2.4754,0.10397
81.0,2.4742,0.10392
81.1,2.473,0.10387
81.2,2.4719,0.10382
81.3,2.4707,0.10377
81.4,2.4695,0.10372
81.5,2.4684,0.10367
81.6,2.4672,0.10362
81.7,2.4661,0.10357
81.8,2.4649,0.10353
81.9,2.4637,0.10348
82.0,2.4626,0.10343
82.1,2.4614,0.10338
82.2,2.4603,0.10333
82.3,2.4591,0.10328
82.4,2.458,0.10324
82.5,2.4568,0.10319
82.6,2.4557,0.10314
82.7,2.4545,0.10309
82.8,2.4534,0.10304
82.9,2.4522,0.10299
83.0,2.4511,0.10295
83.1,2.4499,0.1029
83.2,2.4488,0.10285
83.3,2.4477,0.1028
83.4,2.4465,0.10275
83.5,2.4454,0.10271
83.6,2.4442,0.10266
83.7,2.4431,0.10261
83.8,2.442,0.10256
83.9,2.4408,0.10251
84.0,2.4397,0.10247
84.1,2.4386,0.10242
84.2,2.4374,0.10237
84.3,2.4363,0.10232
84.4,2.4352,0.10228
84.5,2.434,0.10223
84.6,2.4329,0.10218
84.7,2.4318,0.10213
84.8,2.4307,0.10209
84.9,2.4295,0.10204
85.0,2.4284,0.10199
